brand_type,brand,North America,Europe and Turkey,Africa,Latin America and Caribbean,Asia Pacific
Global Giant,Johnnie Walker,0.1,0.13,0.1,0.15,0.2
Global Giant,Smirnoff,0.12,0.12,0.08,0.11,0.1
Global Giant,Baileys,0.05,0.1,0.01,0.09,0.01
Global Giant,Tanqueray,0.03,0.03,0.01,0.01,0.01
Global Giant,Captain Morgan,0.11,0.05,0.01,0.01,0.01
Global Giant,Guiness,0.052,0.205,0.349,0.012,0.044
Local Star,Crown Royal,0.15,,,,
Local Star,Yeni Raki,,0.05,,,
Local Star,J&B,0.01,0.05,,,
Local Star,Buchanan's,0.01,0.01,,0.15,0.01
Local Star,Windsor,,,,,0.12
Local Star,Grand Old Parr,,,,0.11,
Local Star,Bundaberg,,,,,0.03
Local Star,Bell's,,0.01,,,
Local Star,McDowell's,,,,,0.18
Local Star,Ypioca,,,,0.07,
Local Star,Cacique,,0.01,,0.01,
Local Star,Shui Jing Fang,,,,,0.03
Reserve,Ketel One,0.05,0.01,,,
Reserve,Zacapa,0.01,0.01,,0.01,0.01
Reserve,DonJulio,0.02,0.01,,0.01,
Reserve,Bulleit,0.02,0.01,,0.01,
Reserve,Ciroc,0.05,0.01,,0.01,0.01
Other,Other Scotch. (incl. blended & single malt),0.06,0.06,0.03,0.11,0.1
Other,Other spirits (incl. R2D),0.136,0.059,0.128,0.127,0.103
Other,Other beers,0.006,0.023,0.233,0.001,0.005
Other,Other (As listed in Diageo AS),0.016,0.043,0.05,,0.027
